,method,value_error,num_rollouts,vf,level_one_children,level_two_children,k,exp
0,PW0.1,0.061942671313042735,10,Relu,2,4,1,0.1
1,PW0.3,0.4028420687813655,10,Relu,2,4,1,0.3
2,PW0.5,0.03716247192217248,10,Relu,4,5,1,0.5
3,PW0.7,0.24397373248179458,10,Relu,6,4,1,0.7
4,PW0.9,0.13199810719987792,10,Relu,8,2,1,0.9
5,AR,1.0005251842619935,10,Relu,1,9,1,0.1
6,PW0.1,0.5771583016379477,20,Relu,2,4,1,0.1
7,PW0.3,0.6760281482086815,20,Relu,3,6,1,0.3
8,PW0.5,0.8313557218814701,20,Relu,5,10,1,0.5
9,PW0.7,0.03264217322049945,20,Relu,9,11,1,0.7
10,PW0.9,0.2346193255513141,20,Relu,15,5,1,0.9
11,AR,0.21831895601181076,20,Relu,1,19,1,0.1
12,PW0.1,0.14641173444531175,50,Relu,2,4,1,0.1
13,PW0.3,0.14251888622526016,50,Relu,4,10,1,0.3
14,PW0.5,0.2895600791889875,50,Relu,8,20,1,0.5
15,PW0.7,0.02594378626520183,50,Relu,16,31,1,0.7
16,PW0.9,0.30815538736620207,50,Relu,34,16,1,0.9
17,AR,0.20142133553004066,50,Relu,1,49,1,0.1
18,PW0.1,1.514043540820031,100,Relu,2,4,1,0.1
19,PW0.3,0.1061638947700636,100,Relu,4,12,1,0.3
20,PW0.5,0.3796600836466507,100,Relu,11,37,1,0.5
21,PW0.7,0.14682704649094808,100,Relu,26,62,1,0.7
22,PW0.9,0.11572085777855717,100,Relu,64,36,1,0.9
23,AR,0.00911803869321054,100,Relu,1,99,1,0.1
24,PW0.1,0.13545496755727898,200,Relu,2,4,1,0.1
25,PW0.3,0.40269668694126626,200,Relu,5,18,1,0.3
26,PW0.5,0.22598368018002207,200,Relu,15,62,1,0.5
27,PW0.7,0.40201583096580384,200,Relu,41,123,1,0.7
28,PW0.9,0.04553824070417328,200,Relu,118,82,1,0.9
29,AR,0.25930291209530826,200,Relu,1,199,1,0.1
30,PW0.1,1.201597688334771,500,Relu,2,4,1,0.1
31,PW0.3,0.14214003465945393,500,Relu,7,28,1,0.3
32,PW0.5,0.1259177029655682,500,Relu,23,111,1,0.5
33,PW0.7,0.17498520003932494,500,Relu,78,290,1,0.7
34,PW0.9,0.015666019982075174,500,Relu,269,231,1,0.9
35,AR,0.08947056018936878,500,Relu,1,499,1,0.1
36,PW0.1,1.0523368148686927,10,Relu,2,4,1,0.1
37,PW0.3,0.3376532765848504,10,Relu,2,4,1,0.3
38,PW0.5,0.02119944730733253,10,Relu,4,4,1,0.5
39,PW0.7,0.34770654095855713,10,Relu,6,4,1,0.7
40,PW0.9,0.5951384375695067,10,Relu,8,2,1,0.9
41,AR,0.2809612849525085,10,Relu,1,9,1,0.1
42,PW0.1,0.24719614906876564,20,Relu,2,4,1,0.1
43,PW0.3,0.02399985879803851,20,Relu,3,6,1,0.3
44,PW0.5,0.334129112877362,20,Relu,5,12,1,0.5
45,PW0.7,0.11723769794670211,20,Relu,9,11,1,0.7
46,PW0.9,0.22030454041685382,20,Relu,15,5,1,0.9
47,AR,0.7339942478605842,20,Relu,1,19,1,0.1
48,PW0.1,0.0452371230307439,50,Relu,2,4,1,0.1
49,PW0.3,0.9833723265332914,50,Relu,4,9,1,0.3
50,PW0.5,0.0026873196469053007,50,Relu,8,20,1,0.5
51,PW0.7,0.49680472202402415,50,Relu,16,30,1,0.7
52,PW0.9,0.27253219526141337,50,Relu,34,16,1,0.9
53,AR,0.00467139636131228,50,Relu,1,49,1,0.1
54,PW0.1,0.5238412589286381,100,Relu,2,4,1,0.1
55,PW0.3,0.4640685727119805,100,Relu,4,12,1,0.3
56,PW0.5,0.2390595159399307,100,Relu,11,38,1,0.5
57,PW0.7,0.5388363723211766,100,Relu,26,62,1,0.7
58,PW0.9,0.2835051679066307,100,Relu,64,36,1,0.9
59,AR,0.3353906795379866,100,Relu,1,99,1,0.1
60,PW0.1,0.7059021440082023,200,Relu,2,4,1,0.1
61,PW0.3,0.1407698939605208,200,Relu,5,17,1,0.3
62,PW0.5,0.23566916239050328,200,Relu,15,61,1,0.5
63,PW0.7,0.02476322854388424,200,Relu,41,122,1,0.7
64,PW0.9,0.09721809173569651,200,Relu,118,82,1,0.9
65,AR,0.0933719536464156,200,Relu,1,199,1,0.1
66,PW0.1,1.746641828185244,500,Relu,2,4,1,0.1
67,PW0.3,0.11597178478804349,500,Relu,7,28,1,0.3
68,PW0.5,0.0033474756538991457,500,Relu,23,114,1,0.5
69,PW0.7,0.18059747991850722,500,Relu,78,283,1,0.7
70,PW0.9,0.26381176273150797,500,Relu,269,231,1,0.9
71,AR,0.07686387587280091,500,Relu,1,499,1,0.1
72,PW0.1,0.7496075915427731,10,Relu,2,4,1,0.1
73,PW0.3,1.1259047080590971,10,Relu,2,4,1,0.3
74,PW0.5,0.3641636773458498,10,Relu,4,4,1,0.5
75,PW0.7,0.08903797866810126,10,Relu,6,4,1,0.7
76,PW0.9,0.41941518634535435,10,Relu,8,2,1,0.9
77,AR,0.35364255357160523,10,Relu,1,9,1,0.1
78,PW0.1,0.5837366178730155,20,Relu,2,4,1,0.1
79,PW0.3,0.2582369784175452,20,Relu,3,6,1,0.3
80,PW0.5,0.1075908458481376,20,Relu,5,11,1,0.5
81,PW0.7,0.10916522579622645,20,Relu,9,10,1,0.7
82,PW0.9,0.5024261470553231,20,Relu,15,5,1,0.9
83,AR,0.5113980573321542,20,Relu,1,19,1,0.1
84,PW0.1,0.9268654703516939,50,Relu,2,4,1,0.1
85,PW0.3,0.3129566476035026,50,Relu,4,10,1,0.3
86,PW0.5,0.19740155826603656,50,Relu,8,23,1,0.5
87,PW0.7,0.12878428052341634,50,Relu,16,31,1,0.7
88,PW0.9,0.015449275172834787,50,Relu,34,16,1,0.9
89,AR,0.22459755605588938,50,Relu,1,49,1,0.1
90,PW0.1,0.11752234626565494,100,Relu,2,4,1,0.1
91,PW0.3,0.176488349440595,100,Relu,4,12,1,0.3
92,PW0.5,0.29954418682310957,100,Relu,11,34,1,0.5
93,PW0.7,0.15076095088666674,100,Relu,26,61,1,0.7
94,PW0.9,0.3622379118593818,100,Relu,64,36,1,0.9
95,AR,0.3769774789452738,100,Relu,1,99,1,0.1
96,PW0.1,1.1510351689296174,200,Relu,2,4,1,0.1
97,PW0.3,0.2892585600243156,200,Relu,5,17,1,0.3
98,PW0.5,0.22262362470903918,200,Relu,15,59,1,0.5
99,PW0.7,0.03227283021916416,200,Relu,41,122,1,0.7
100,PW0.9,0.0775830507149533,200,Relu,118,82,1,0.9
101,AR,0.1353246530598926,200,Relu,1,199,1,0.1
102,PW0.1,0.16428144268844663,500,Relu,2,4,1,0.1
103,PW0.3,0.46719175755558306,500,Relu,7,27,1,0.3
104,PW0.5,0.24888966356128217,500,Relu,23,111,1,0.5
105,PW0.7,0.0054697874996633145,500,Relu,78,285,1,0.7
106,PW0.9,0.033231097616219674,500,Relu,269,231,1,0.9
107,AR,0.10413077069906584,500,Relu,1,499,1,0.1
108,PW0.1,0.23483439637282322,10,Relu,2,4,1,0.1
109,PW0.3,1.7941941141484516,10,Relu,2,4,1,0.3
110,PW0.5,0.1704739151262591,10,Relu,4,6,1,0.5
111,PW0.7,0.227226931385887,10,Relu,6,4,1,0.7
112,PW0.9,0.005200855941238647,10,Relu,8,2,1,0.9
113,AR,0.7283875397763113,10,Relu,1,9,1,0.1
114,PW0.1,0.9539567418207184,20,Relu,2,4,1,0.1
115,PW0.3,0.8685020985668133,20,Relu,3,6,1,0.3
116,PW0.5,0.3120118769168996,20,Relu,5,11,1,0.5
117,PW0.7,0.23080681861849905,20,Relu,9,11,1,0.7
118,PW0.9,0.12312354276864435,20,Relu,15,5,1,0.9
119,AR,0.10394745304811792,20,Relu,1,19,1,0.1
120,PW0.1,0.7634537612735128,50,Relu,2,4,1,0.1
121,PW0.3,0.48852162286894085,50,Relu,4,11,1,0.3
122,PW0.5,0.5381339897731738,50,Relu,8,21,1,0.5
123,PW0.7,0.0817428571365948,50,Relu,16,31,1,0.7
124,PW0.9,0.11114356196012398,50,Relu,34,16,1,0.9
125,AR,0.1714814296525251,50,Relu,1,49,1,0.1
126,PW0.1,1.2430517796317524,100,Relu,2,4,1,0.1
127,PW0.3,0.3596698760414938,100,Relu,4,12,1,0.3
128,PW0.5,0.05205693370605946,100,Relu,11,34,1,0.5
129,PW0.7,0.273522571301827,100,Relu,26,67,1,0.7
130,PW0.9,0.0276226345080528,100,Relu,64,36,1,0.9
131,AR,0.030370200277221926,100,Relu,1,99,1,0.1
132,PW0.1,0.9143977689173797,200,Relu,2,4,1,0.1
133,PW0.3,0.36176061640524715,200,Relu,5,18,1,0.3
134,PW0.5,0.14770913889250448,200,Relu,15,59,1,0.5
135,PW0.7,0.18236641738682824,200,Relu,41,125,1,0.7
136,PW0.9,0.0891830680451573,200,Relu,118,82,1,0.9
137,AR,0.08472069794800197,200,Relu,1,199,1,0.1
138,PW0.1,1.1398526342956377,500,Relu,2,4,1,0.1
139,PW0.3,0.04095065637867901,500,Relu,7,28,1,0.3
140,PW0.5,0.08512577166165025,500,Relu,23,111,1,0.5
141,PW0.7,0.21994866610884678,500,Relu,78,289,1,0.7
142,PW0.9,0.1563683858257221,500,Relu,269,231,1,0.9
143,AR,0.08586345333747625,500,Relu,1,499,1,0.1
144,PW0.1,0.4359305151022004,10,Relu,2,3,1,0.1
145,PW0.3,1.1637825790656884,10,Relu,2,4,1,0.3
146,PW0.5,0.4857089474439348,10,Relu,4,6,1,0.5
147,PW0.7,0.6964447310949051,10,Relu,6,4,1,0.7
148,PW0.9,1.2022882260509937,10,Relu,8,2,1,0.9
149,AR,0.11619897557516023,10,Relu,1,9,1,0.1
150,PW0.1,0.0374199440091838,20,Relu,2,4,1,0.1
151,PW0.3,0.9328488825900603,20,Relu,3,6,1,0.3
152,PW0.5,0.4340750827487545,20,Relu,5,9,1,0.5
153,PW0.7,0.1887752110024532,20,Relu,9,11,1,0.7
154,PW0.9,0.4409039346622614,20,Relu,15,5,1,0.9
155,AR,0.05766009324375576,20,Relu,1,19,1,0.1
156,PW0.1,2.699331130348008,50,Relu,2,4,1,0.1
157,PW0.3,0.47101761674211606,50,Relu,4,11,1,0.3
158,PW0.5,0.3611593885255595,50,Relu,8,23,1,0.5
159,PW0.7,0.32371164419717813,50,Relu,16,30,1,0.7
160,PW0.9,0.5293225689693815,50,Relu,34,16,1,0.9
161,AR,0.17327019855460413,50,Relu,1,49,1,0.1
162,PW0.1,0.4562974456115936,100,Relu,2,4,1,0.1
163,PW0.3,0.4446386761053304,100,Relu,4,12,1,0.3
164,PW0.5,0.024645339361058838,100,Relu,11,36,1,0.5
165,PW0.7,0.25514605082576236,100,Relu,26,63,1,0.7
166,PW0.9,0.7450008124392419,100,Relu,64,36,1,0.9
167,AR,0.1369608620598619,100,Relu,1,99,1,0.1
168,PW0.1,1.099164253072953,200,Relu,2,4,1,0.1
169,PW0.3,0.2975799660464664,200,Relu,5,18,1,0.3
170,PW0.5,0.048209441168792,200,Relu,15,58,1,0.5
171,PW0.7,0.2744957569174622,200,Relu,41,116,1,0.7
172,PW0.9,0.43086458911021325,200,Relu,118,82,1,0.9
173,AR,0.10530400528178663,200,Relu,1,199,1,0.1
174,PW0.1,0.7637867457198413,500,Relu,2,4,1,0.1
175,PW0.3,0.2816431557286676,500,Relu,7,29,1,0.3
176,PW0.5,0.0915176815864468,500,Relu,23,111,1,0.5
177,PW0.7,0.04221391057839263,500,Relu,78,288,1,0.7
178,PW0.9,0.345116187768025,500,Relu,269,231,1,0.9
179,AR,0.1755868013724462,500,Relu,1,499,1,0.1
180,PW0.1,0.03954467131890782,10,Relu,2,4,1,0.1
181,PW0.3,0.5231244067552231,10,Relu,2,4,1,0.3
182,PW0.5,0.24505846025769196,10,Relu,4,6,1,0.5
183,PW0.7,0.44647071195407007,10,Relu,6,4,1,0.7
184,PW0.9,0.27182034625946927,10,Relu,8,2,1,0.9
185,AR,0.20867925237296903,10,Relu,1,9,1,0.1
186,PW0.1,0.63139671313297,20,Relu,2,4,1,0.1
187,PW0.3,0.3316883388040054,20,Relu,3,7,1,0.3
188,PW0.5,0.2601344708567801,20,Relu,5,12,1,0.5
189,PW0.7,0.35590273438908926,20,Relu,9,11,1,0.7
190,PW0.9,0.28099964077404616,20,Relu,15,5,1,0.9
191,AR,0.2617871162133203,20,Relu,1,19,1,0.1
192,PW0.1,0.5430832857920305,50,Relu,2,4,1,0.1
193,PW0.3,0.4532192731111657,50,Relu,4,11,1,0.3
194,PW0.5,0.01408335971458774,50,Relu,8,19,1,0.5
195,PW0.7,0.05177868086502935,50,Relu,16,30,1,0.7
196,PW0.9,0.12748146308696828,50,Relu,34,16,1,0.9
197,AR,0.25010517573352953,50,Relu,1,49,1,0.1
198,PW0.1,0.19487476161057526,100,Relu,2,4,1,0.1
199,PW0.3,0.3204891988152425,100,Relu,4,12,1,0.3
200,PW0.5,0.02500073261380442,100,Relu,11,37,1,0.5
201,PW0.7,0.0553518905302246,100,Relu,26,63,1,0.7
202,PW0.9,0.01810522311436258,100,Relu,64,36,1,0.9
203,AR,0.0004746159772515135,100,Relu,1,99,1,0.1
204,PW0.1,0.7304447435209087,200,Relu,2,4,1,0.1
205,PW0.3,0.1585407787772175,200,Relu,5,19,1,0.3
206,PW0.5,0.042946545049684426,200,Relu,15,60,1,0.5
207,PW0.7,0.03637970560529857,200,Relu,41,120,1,0.7
208,PW0.9,0.15444492595338866,200,Relu,118,82,1,0.9
209,AR,0.2618735909309373,200,Relu,1,199,1,0.1
210,PW0.1,1.3199791061395025,500,Relu,2,4,1,0.1
211,PW0.3,0.12272157909137738,500,Relu,7,27,1,0.3
212,PW0.5,0.15283196525227694,500,Relu,23,114,1,0.5
213,PW0.7,0.10525618064070441,500,Relu,78,283,1,0.7
214,PW0.9,0.0885032530631269,500,Relu,269,231,1,0.9
215,AR,0.04539484997150245,500,Relu,1,499,1,0.1
216,PW0.1,0.4292350898099544,10,Relu,2,4,1,0.1
217,PW0.3,0.47877111547751317,10,Relu,2,3,1,0.3
218,PW0.5,0.38877631777725785,10,Relu,4,5,1,0.5
219,PW0.7,0.3103691396408754,10,Relu,6,4,1,0.7
220,PW0.9,0.28555814224789833,10,Relu,8,2,1,0.9
221,AR,0.20954794729668857,10,Relu,1,9,1,0.1
222,PW0.1,1.0186728963830298,20,Relu,2,4,1,0.1
223,PW0.3,1.4237423829370357,20,Relu,3,5,1,0.3
224,PW0.5,0.3384509295603739,20,Relu,5,12,1,0.5
225,PW0.7,0.40941300952688,20,Relu,9,10,1,0.7
226,PW0.9,0.2866677994931299,20,Relu,15,5,1,0.9
227,AR,0.09414140439134622,20,Relu,1,19,1,0.1
228,PW0.1,0.8589965976290501,50,Relu,2,4,1,0.1
229,PW0.3,0.37650942169898727,50,Relu,4,11,1,0.3
230,PW0.5,0.20548148535558042,50,Relu,8,23,1,0.5
231,PW0.7,0.043008641719546326,50,Relu,16,31,1,0.7
232,PW0.9,0.2781023197268424,50,Relu,34,16,1,0.9
233,AR,0.21256355984074693,50,Relu,1,49,1,0.1
234,PW0.1,0.061303790655161006,100,Relu,2,4,1,0.1
235,PW0.3,0.22188551165610093,100,Relu,4,12,1,0.3
236,PW0.5,0.30075326878283803,100,Relu,11,34,1,0.5
237,PW0.7,0.12620508700985722,100,Relu,26,60,1,0.7
238,PW0.9,0.4294531023897252,100,Relu,64,36,1,0.9
239,AR,0.23989713807720747,100,Relu,1,99,1,0.1
240,PW0.1,1.5769960620186474,200,Relu,2,4,1,0.1
241,PW0.3,0.14618570291278665,200,Relu,5,18,1,0.3
242,PW0.5,0.08110542265458243,200,Relu,15,58,1,0.5
243,PW0.7,0.0951689462149714,200,Relu,41,121,1,0.7
244,PW0.9,0.24139843807875927,200,Relu,118,82,1,0.9
245,AR,0.07054871182015976,200,Relu,1,199,1,0.1
246,PW0.1,0.06932317115679076,500,Relu,2,4,1,0.1
247,PW0.3,0.18460054026545025,500,Relu,7,28,1,0.3
248,PW0.5,0.21712894707569363,500,Relu,23,115,1,0.5
249,PW0.7,0.15027472034376732,500,Relu,78,295,1,0.7
250,PW0.9,0.35998479645780757,500,Relu,269,231,1,0.9
251,AR,0.0340551256720234,500,Relu,1,499,1,0.1
252,PW0.1,0.19078597261424868,10,Relu,2,4,1,0.1
253,PW0.3,0.9577895098286788,10,Relu,2,4,1,0.3
254,PW0.5,0.0573461738949943,10,Relu,4,6,1,0.5
255,PW0.7,0.4413006495322387,10,Relu,6,4,1,0.7
256,PW0.9,0.0776505806057548,10,Relu,8,2,1,0.9
257,AR,0.2828149123565544,10,Relu,1,9,1,0.1
258,PW0.1,1.702771300371401,20,Relu,2,4,1,0.1
259,PW0.3,0.3401042848472775,20,Relu,3,6,1,0.3
260,PW0.5,0.21332635266687738,20,Relu,5,13,1,0.5
261,PW0.7,0.23791796028544,20,Relu,9,10,1,0.7
262,PW0.9,0.33294033322354943,20,Relu,15,5,1,0.9
263,AR,0.3767907698957145,20,Relu,1,19,1,0.1
264,PW0.1,0.4352386968616737,50,Relu,2,4,1,0.1
265,PW0.3,0.7577017978449927,50,Relu,4,10,1,0.3
266,PW0.5,0.11073118904272272,50,Relu,8,23,1,0.5
267,PW0.7,0.40038524739259396,50,Relu,16,31,1,0.7
268,PW0.9,0.17479919753500095,50,Relu,34,16,1,0.9
269,AR,0.18465865110960644,50,Relu,1,49,1,0.1
270,PW0.1,0.613492955913308,100,Relu,2,4,1,0.1
271,PW0.3,0.3431572910503533,100,Relu,4,12,1,0.3
272,PW0.5,0.6707749733885153,100,Relu,11,34,1,0.5
273,PW0.7,0.1188140295783402,100,Relu,26,63,1,0.7
274,PW0.9,0.6462764128809528,100,Relu,64,36,1,0.9
275,AR,0.12021888371755729,100,Relu,1,99,1,0.1
276,PW0.1,0.00012038730845809198,200,Relu,2,4,1,0.1
277,PW0.3,0.9208891660097125,200,Relu,5,19,1,0.3
278,PW0.5,0.02152374982912253,200,Relu,15,55,1,0.5
279,PW0.7,0.03878421983526614,200,Relu,41,118,1,0.7
280,PW0.9,0.27167178198984177,200,Relu,118,82,1,0.9
281,AR,0.0659784178049474,200,Relu,1,199,1,0.1
282,PW0.1,0.7351893498213631,500,Relu,2,4,1,0.1
283,PW0.3,0.03507732924218532,500,Relu,7,27,1,0.3
284,PW0.5,0.147311688539987,500,Relu,23,113,1,0.5
285,PW0.7,0.14443463637893839,500,Relu,78,281,1,0.7
286,PW0.9,0.19609572055315017,500,Relu,269,231,1,0.9
287,AR,0.04087721997424998,500,Relu,1,499,1,0.1
288,PW0.1,0.4964272701517636,10,Relu,2,4,1,0.1
289,PW0.3,0.31276447849784605,10,Relu,2,4,1,0.3
290,PW0.5,0.17969602819462693,10,Relu,4,5,1,0.5
291,PW0.7,0.2883841142805039,10,Relu,6,4,1,0.7
292,PW0.9,0.3184808865714346,10,Relu,8,2,1,0.9
293,AR,0.05259577147881922,10,Relu,1,9,1,0.1
294,PW0.1,0.6657795941836312,20,Relu,2,4,1,0.1
295,PW0.3,0.6733390816641915,20,Relu,3,7,1,0.3
296,PW0.5,0.38435426762085,20,Relu,5,11,1,0.5
297,PW0.7,0.35492041768182037,20,Relu,9,11,1,0.7
298,PW0.9,0.19032323038231302,20,Relu,15,5,1,0.9
299,AR,0.4525962557671005,20,Relu,1,19,1,0.1
300,PW0.1,1.1470409105830455,50,Relu,2,4,1,0.1
301,PW0.3,0.45300673076709974,50,Relu,4,9,1,0.3
302,PW0.5,0.0612546698172749,50,Relu,8,22,1,0.5
303,PW0.7,0.27960197281072996,50,Relu,16,33,1,0.7
304,PW0.9,0.26847871297980763,50,Relu,34,16,1,0.9
305,AR,0.2723914604272528,50,Relu,1,49,1,0.1
306,PW0.1,0.21716929016303488,100,Relu,2,4,1,0.1
307,PW0.3,0.48654579888657556,100,Relu,4,12,1,0.3
308,PW0.5,0.8491163009574368,100,Relu,11,37,1,0.5
309,PW0.7,0.01846411558628147,100,Relu,26,62,1,0.7
310,PW0.9,0.26635332907044695,100,Relu,64,36,1,0.9
311,AR,0.050567571710094184,100,Relu,1,99,1,0.1
312,PW0.1,0.3148975507808589,200,Relu,2,4,1,0.1
313,PW0.3,0.46495448048063426,200,Relu,5,18,1,0.3
314,PW0.5,0.09014543315736234,200,Relu,15,58,1,0.5
315,PW0.7,0.21708572974274265,200,Relu,41,124,1,0.7
316,PW0.9,0.07652388599661442,200,Relu,118,82,1,0.9
317,AR,0.027536607012923264,200,Relu,1,199,1,0.1
318,PW0.1,0.2818785881602266,500,Relu,2,4,1,0.1
319,PW0.3,0.2023981730428409,500,Relu,7,27,1,0.3
320,PW0.5,0.1272389601891104,500,Relu,23,114,1,0.5
321,PW0.7,0.002354119131688037,500,Relu,78,285,1,0.7
322,PW0.9,0.09791991159056224,500,Relu,269,231,1,0.9
323,AR,0.00876116467449184,500,Relu,1,499,1,0.1
324,PW0.1,0.07383195844803914,10,Relu,2,4,1,0.1
325,PW0.3,0.27857554025134484,10,Relu,2,4,1,0.3
326,PW0.5,0.5390718726870782,10,Relu,4,6,1,0.5
327,PW0.7,0.19491088786957333,10,Relu,6,4,1,0.7
328,PW0.9,0.8616543271164924,10,Relu,8,2,1,0.9
329,AR,0.23436356472906406,10,Relu,1,9,1,0.1
330,PW0.1,1.8026437351877345,20,Relu,2,4,1,0.1
331,PW0.3,0.6749261348585354,20,Relu,3,6,1,0.3
332,PW0.5,0.0805319891757853,20,Relu,5,13,1,0.5
333,PW0.7,0.036552006267187354,20,Relu,9,11,1,0.7
334,PW0.9,0.5690954254510197,20,Relu,15,5,1,0.9
335,AR,0.2568535738220431,20,Relu,1,19,1,0.1
336,PW0.1,0.49328563987050145,50,Relu,2,4,1,0.1
337,PW0.3,0.5619536197462562,50,Relu,4,11,1,0.3
338,PW0.5,0.533156032530083,50,Relu,8,21,1,0.5
339,PW0.7,0.4682826450208287,50,Relu,16,31,1,0.7
340,PW0.9,0.4160007331356933,50,Relu,34,16,1,0.9
341,AR,0.25030165854009934,50,Relu,1,49,1,0.1
342,PW0.1,1.2676669604107804,100,Relu,2,4,1,0.1
343,PW0.3,0.005019937151391263,100,Relu,4,12,1,0.3
344,PW0.5,0.29849673816032296,100,Relu,11,33,1,0.5
345,PW0.7,0.4803158123215754,100,Relu,26,62,1,0.7
346,PW0.9,0.3450694525431314,100,Relu,64,36,1,0.9
347,AR,0.048148146478851905,100,Relu,1,99,1,0.1
348,PW0.1,1.3533988727943915,200,Relu,2,4,1,0.1
349,PW0.3,0.5334078311372361,200,Relu,5,18,1,0.3
350,PW0.5,0.093180169586917,200,Relu,15,61,1,0.5
351,PW0.7,0.17295868215343835,200,Relu,41,121,1,0.7
352,PW0.9,0.511885628719533,200,Relu,118,82,1,0.9
353,AR,0.10570056317682797,200,Relu,1,199,1,0.1
354,PW0.1,0.3174369801710309,500,Relu,2,4,1,0.1
355,PW0.3,0.07793290621076154,500,Relu,7,28,1,0.3
356,PW0.5,0.2483520083776387,500,Relu,23,114,1,0.5
357,PW0.7,0.1924631963141592,500,Relu,78,280,1,0.7
358,PW0.9,0.4735837255060754,500,Relu,269,231,1,0.9
359,AR,0.05892771873996905,500,Relu,1,499,1,0.1
360,PW0.1,1.4974534333891056,10,Relu,2,4,1,0.1
361,PW0.3,0.8363052595264265,10,Relu,2,3,1,0.3
362,PW0.5,0.41010758711868833,10,Relu,4,6,1,0.5
363,PW0.7,0.4699982202256194,10,Relu,6,4,1,0.7
364,PW0.9,0.8820227671300394,10,Relu,8,2,1,0.9
365,AR,0.2692224475840733,10,Relu,1,9,1,0.1
366,PW0.1,1.703240791864872,20,Relu,2,4,1,0.1
367,PW0.3,0.765078225647877,20,Relu,3,6,1,0.3
368,PW0.5,0.9272361267209661,20,Relu,5,10,1,0.5
369,PW0.7,0.263425514278465,20,Relu,9,11,1,0.7
370,PW0.9,0.8760853398916503,20,Relu,15,5,1,0.9
371,AR,0.580438829520288,20,Relu,1,19,1,0.1
372,PW0.1,0.1216557072145956,50,Relu,2,4,1,0.1
373,PW0.3,0.22962755832295648,50,Relu,4,11,1,0.3
374,PW0.5,0.36851860837213757,50,Relu,8,22,1,0.5
375,PW0.7,0.3938877655174546,50,Relu,16,29,1,0.7
376,PW0.9,0.5907842798012318,50,Relu,34,16,1,0.9
377,AR,0.20522242373173563,50,Relu,1,49,1,0.1
378,PW0.1,0.5663928211225246,100,Relu,2,4,1,0.1
379,PW0.3,0.7217500257257365,100,Relu,4,12,1,0.3
380,PW0.5,0.11870654495184385,100,Relu,11,33,1,0.5
381,PW0.7,0.33399726756252807,100,Relu,26,63,1,0.7
382,PW0.9,0.5990443173583,100,Relu,64,36,1,0.9
383,AR,0.24258396633945048,100,Relu,1,99,1,0.1
384,PW0.1,1.904503700499946,200,Relu,2,4,1,0.1
385,PW0.3,0.8185255583973794,200,Relu,5,19,1,0.3
386,PW0.5,0.19279202204382878,200,Relu,15,59,1,0.5
387,PW0.7,0.20402878216123504,200,Relu,41,118,1,0.7
388,PW0.9,0.6439725488736678,200,Relu,118,82,1,0.9
389,AR,0.08432739513545273,200,Relu,1,199,1,0.1
390,PW0.1,0.05965106958766406,500,Relu,2,4,1,0.1
391,PW0.3,0.1430599522466826,500,Relu,7,27,1,0.3
392,PW0.5,0.024915534842984366,500,Relu,23,113,1,0.5
393,PW0.7,0.13841251366268506,500,Relu,78,286,1,0.7
394,PW0.9,0.6023164880110241,500,Relu,269,231,1,0.9
395,AR,0.06546834836039184,500,Relu,1,499,1,0.1
396,PW0.1,0.452045217790094,10,Relu,2,4,1,0.1
397,PW0.3,1.0379481686858973,10,Relu,2,4,1,0.3
398,PW0.5,1.1583630591606393,10,Relu,4,6,1,0.5
399,PW0.7,0.6250260784810169,10,Relu,6,4,1,0.7
400,PW0.9,1.0609620264989421,10,Relu,8,2,1,0.9
401,AR,0.5552903337283606,10,Relu,1,9,1,0.1
402,PW0.1,0.07213286228669102,20,Relu,2,4,1,0.1
403,PW0.3,0.3231454197454873,20,Relu,3,6,1,0.3
404,PW0.5,0.41029133617705793,20,Relu,5,12,1,0.5
405,PW0.7,0.6723155638305864,20,Relu,9,11,1,0.7
406,PW0.9,1.0350479128406316,20,Relu,15,5,1,0.9
407,AR,0.27838331941745964,20,Relu,1,19,1,0.1
408,PW0.1,0.6919055892570505,50,Relu,2,4,1,0.1
409,PW0.3,0.22174406611774988,50,Relu,4,11,1,0.3
410,PW0.5,0.3457410461558521,50,Relu,8,23,1,0.5
411,PW0.7,0.5864462666329646,50,Relu,16,30,1,0.7
412,PW0.9,1.0633009337374504,50,Relu,34,16,1,0.9
413,AR,0.2691114509018062,50,Relu,1,49,1,0.1
414,PW0.1,0.018611520049537367,100,Relu,2,4,1,0.1
415,PW0.3,0.20974330090431414,100,Relu,4,12,1,0.3
416,PW0.5,0.09354426934329929,100,Relu,11,35,1,0.5
417,PW0.7,0.3272359575084345,100,Relu,26,60,1,0.7
418,PW0.9,0.9812892087436761,100,Relu,64,36,1,0.9
419,AR,0.11695412114410164,100,Relu,1,99,1,0.1
420,PW0.1,0.40149817458967285,200,Relu,2,4,1,0.1
421,PW0.3,0.6537735825192508,200,Relu,5,18,1,0.3
422,PW0.5,0.13215157509622721,200,Relu,15,58,1,0.5
423,PW0.7,0.3294947636626473,200,Relu,41,121,1,0.7
424,PW0.9,0.7819467224573801,200,Relu,118,82,1,0.9
425,AR,0.03955625981440569,200,Relu,1,199,1,0.1
426,PW0.1,0.7820604968387448,500,Relu,2,4,1,0.1
427,PW0.3,0.04671005522471705,500,Relu,7,27,1,0.3
428,PW0.5,0.03965685683015363,500,Relu,23,114,1,0.5
429,PW0.7,0.11282263283628668,500,Relu,78,284,1,0.7
