,method,value_error,num_rollouts,vf,level_one_children,level_two_children,k,exp
2707,PW0.3,0.8980786266564948,20,Relu,3,6,1,0.3
2708,PW0.5,0.7767717500295208,20,Relu,5,11,1,0.5
2709,PW0.7,0.002513772579610607,20,Relu,9,11,1,0.7
2710,PW0.9,0.5419741016035213,20,Relu,15,5,1,0.9
2711,AR,0.36702479752236283,20,Relu,1,19,1,0.1
2712,PW0.1,0.6932084618936427,50,Relu,2,4,1,0.1
2713,PW0.3,1.0716832354088455,50,Relu,4,11,1,0.3
2714,PW0.5,0.2535448473044817,50,Relu,8,23,1,0.5
2715,PW0.7,0.6833515714349288,50,Relu,16,32,1,0.7
2716,PW0.9,0.4966112070687805,50,Relu,34,16,1,0.9
2717,AR,0.45018316453925,50,Relu,1,49,1,0.1
2718,PW0.1,0.8288904970147593,100,Relu,2,4,1,0.1
2719,PW0.3,1.0338266153611086,100,Relu,4,12,1,0.3
2720,PW0.5,0.08463941295328092,100,Relu,11,34,1,0.5
2721,PW0.7,0.33037351847305974,100,Relu,26,62,1,0.7
2722,PW0.9,0.4042031560539896,100,Relu,64,36,1,0.9
2723,AR,0.07686762373947265,100,Relu,1,99,1,0.1
2724,PW0.1,1.1704472825744543,200,Relu,2,4,1,0.1
2725,PW0.3,0.19816765570328532,200,Relu,5,18,1,0.3
2726,PW0.5,0.18911125080218416,200,Relu,15,59,1,0.5
2727,PW0.7,0.44523870448734293,200,Relu,41,122,1,0.7
2728,PW0.9,0.4884905494096059,200,Relu,118,82,1,0.9
2729,AR,0.25339967771401173,200,Relu,1,199,1,0.1
2730,PW0.1,0.031109576970734687,500,Relu,2,4,1,0.1
2731,PW0.3,0.256755766484524,500,Relu,7,27,1,0.3
2732,PW0.5,0.26418896084375765,500,Relu,23,113,1,0.5
2733,PW0.7,0.1815140563478007,500,Relu,78,287,1,0.7
2734,PW0.9,0.36845192310267993,500,Relu,269,231,1,0.9
2735,AR,0.10240254616735367,500,Relu,1,499,1,0.1
2736,PW0.1,0.5650137782020636,10,Relu,2,4,1,0.1
2737,PW0.3,1.238534107635946,10,Relu,2,4,1,0.3
2738,PW0.5,0.324397955203915,10,Relu,4,6,1,0.5
2739,PW0.7,0.05570814196305668,10,Relu,6,4,1,0.7
2740,PW0.9,0.3205101993361176,10,Relu,8,2,1,0.9
2741,AR,0.18356127160002406,10,Relu,1,9,1,0.1
2742,PW0.1,1.296039786615721,20,Relu,2,4,1,0.1
2743,PW0.3,0.7464051933327629,20,Relu,3,6,1,0.3
2744,PW0.5,0.9002328685013605,20,Relu,5,10,1,0.5
2745,PW0.7,0.7400481381125248,20,Relu,9,10,1,0.7
2746,PW0.9,0.8523055731774927,20,Relu,15,5,1,0.9
2747,AR,0.2362913261377822,20,Relu,1,19,1,0.1
2748,PW0.1,0.4817848514424367,50,Relu,2,4,1,0.1
2749,PW0.3,0.8136061170269444,50,Relu,4,11,1,0.3
2750,PW0.5,0.1295419846446878,50,Relu,8,21,1,0.5
2751,PW0.7,0.41522157139172655,50,Relu,16,29,1,0.7
2752,PW0.9,0.5510582493943293,50,Relu,34,16,1,0.9
2753,AR,0.08400137783710915,50,Relu,1,49,1,0.1
2754,PW0.1,0.5787754266760899,100,Relu,2,4,1,0.1
2755,PW0.3,0.9737687422564454,100,Relu,4,12,1,0.3
2756,PW0.5,0.03322040195495041,100,Relu,11,32,1,0.5
2757,PW0.7,0.31684867859384974,100,Relu,26,64,1,0.7
2758,PW0.9,0.6021604701053852,100,Relu,64,36,1,0.9
2759,AR,0.014149834939809536,100,Relu,1,99,1,0.1
2760,PW0.1,0.7298791572719225,200,Relu,2,4,1,0.1
2761,PW0.3,0.23312308808557158,200,Relu,5,18,1,0.3
2762,PW0.5,0.28346518179120794,200,Relu,15,59,1,0.5
2763,PW0.7,0.1715285270714907,200,Relu,41,123,1,0.7
2764,PW0.9,0.5028796936197358,200,Relu,118,82,1,0.9
2765,AR,0.12980991597046299,200,Relu,1,199,1,0.1
2766,PW0.1,0.2472711400650287,500,Relu,2,4,1,0.1
2767,PW0.3,0.2976991371730736,500,Relu,7,28,1,0.3
2768,PW0.5,0.2406682743669447,500,Relu,23,114,1,0.5
2769,PW0.7,0.08649163072253674,500,Relu,78,286,1,0.7
2770,PW0.9,0.5589106204145611,500,Relu,269,231,1,0.9
2771,AR,0.022182450821495114,500,Relu,1,499,1,0.1
2772,PW0.1,1.8443441511269416,10,Relu,2,4,1,0.1
2773,PW0.3,0.2342220141090099,10,Relu,2,4,1,0.3
2774,PW0.5,0.028925346080295178,10,Relu,4,6,1,0.5
2775,PW0.7,0.3810161702606809,10,Relu,6,4,1,0.7
2776,PW0.9,0.7359022925118914,10,Relu,8,2,1,0.9
2777,AR,0.34997232386911303,10,Relu,1,9,1,0.1
2778,PW0.1,0.504189470144703,20,Relu,2,4,1,0.1
2779,PW0.3,0.9741559155446238,20,Relu,3,6,1,0.3
2780,PW0.5,0.22917378849936076,20,Relu,5,10,1,0.5
2781,PW0.7,0.05981759085695648,20,Relu,9,11,1,0.7
2782,PW0.9,0.225645678457691,20,Relu,15,5,1,0.9
2783,AR,0.26130548009898735,20,Relu,1,19,1,0.1
2784,PW0.1,0.3051345170307913,50,Relu,2,4,1,0.1
2785,PW0.3,0.1859185066276141,50,Relu,4,10,1,0.3
2786,PW0.5,0.10823893612623303,50,Relu,8,22,1,0.5
2787,PW0.7,0.30159748011966725,50,Relu,16,31,1,0.7
2788,PW0.9,0.3922613490365068,50,Relu,34,16,1,0.9
2789,AR,0.08134654223435156,50,Relu,1,49,1,0.1
2790,PW0.1,0.8858054456848352,100,Relu,2,4,1,0.1
2791,PW0.3,0.2718560822340761,100,Relu,4,12,1,0.3
2792,PW0.5,0.07198065956509758,100,Relu,11,37,1,0.5
2793,PW0.7,0.17498203555839398,100,Relu,26,59,1,0.7
2794,PW0.9,0.5177385026743222,100,Relu,64,36,1,0.9
2795,AR,0.07183669452738917,100,Relu,1,99,1,0.1
2796,PW0.1,0.3361188979235781,200,Relu,2,4,1,0.1
2797,PW0.3,0.03900017081819174,200,Relu,5,18,1,0.3
2798,PW0.5,0.18301935925079382,200,Relu,15,57,1,0.5
2799,PW0.7,0.2441095669116593,200,Relu,41,122,1,0.7
2800,PW0.9,0.5949651099564139,200,Relu,118,82,1,0.9
2801,AR,0.1416263663193833,200,Relu,1,199,1,0.1
2802,PW0.1,0.7035701825692815,500,Relu,2,4,1,0.1
2803,PW0.3,0.051878305274362546,500,Relu,7,28,1,0.3
2804,PW0.5,0.07335279863158206,500,Relu,23,113,1,0.5
2805,PW0.7,0.12107634472115203,500,Relu,78,285,1,0.7
2806,PW0.9,0.41614804397970495,500,Relu,269,230,1,0.9
2807,AR,0.10456918562643924,500,Relu,1,499,1,0.1
2808,PW0.1,0.6075878737753082,10,Relu,2,4,1,0.1
2809,PW0.3,0.9716147460188196,10,Relu,2,4,1,0.3
2810,PW0.5,0.4683779707387403,10,Relu,4,6,1,0.5
2811,PW0.7,1.086240489113602,10,Relu,6,4,1,0.7
2812,PW0.9,0.9453282443786848,10,Relu,8,2,1,0.9
2813,AR,0.4122881231870714,10,Relu,1,9,1,0.1
2814,PW0.1,0.41756222031608026,20,Relu,2,4,1,0.1
2815,PW0.3,0.9288359286998982,20,Relu,3,6,1,0.3
2816,PW0.5,0.44752171017800935,20,Relu,5,11,1,0.5
2817,PW0.7,0.27294948410979214,20,Relu,9,11,1,0.7
2818,PW0.9,0.7245855210138292,20,Relu,15,5,1,0.9
2819,AR,0.40394866895153436,20,Relu,1,19,1,0.1
2820,PW0.1,1.0812272660433386,50,Relu,2,4,1,0.1
2821,PW0.3,0.8051956983174244,50,Relu,4,11,1,0.3
2822,PW0.5,0.7054372040678902,50,Relu,8,22,1,0.5
2823,PW0.7,0.0024428508977138996,50,Relu,16,30,1,0.7
2824,PW0.9,0.321384614928774,50,Relu,34,16,1,0.9
2825,AR,0.24215395041494991,50,Relu,1,49,1,0.1
2826,PW0.1,0.5898609076798458,100,Relu,2,4,1,0.1
2827,PW0.3,0.8112780948629081,100,Relu,4,12,1,0.3
2828,PW0.5,0.612104508262826,100,Relu,11,36,1,0.5
2829,PW0.7,0.19639559328218592,100,Relu,26,61,1,0.7
