method,expected_return,num_rollouts,k,exp,time_minutes
PW0.15,139.19,10,1,0.15,27.48407725095749
PW0.3,138.84,10,1,0.3,26.501241846879324
PW0.5,139.02,10,1,0.5,28.22647083600362
PW0.7,138.97,10,1,0.7,26.16327881415685
PW0.15,139.1,20,1,0.15,26.55931037267049
PW0.3,139.4,20,1,0.3,26.35796683629354
PW0.5,140.43,20,1,0.5,34.91857779423396
PW0.7,140.07,20,1,0.7,80.74450239340464
PW0.15,138.33,50,1,0.15,31.874864916006725
PW0.3,138.87,50,1,0.3,37.851579848925276
PW0.5,139.21,50,1,0.5,54.15304212967555
PW0.7,139.91,50,1,0.7,68.54760159651438
PW0.15,139.09,100,1,0.15,27.450003031889597
PW0.3,138.43,100,1,0.3,39.25826648871104
PW0.5,139.88,100,1,0.5,74.39140321016312
PW0.7,139.93,100,1,0.7,773.0804828802744
PW0.15,154.74,200,1,0.15,32.39627177317937
PW0.3,141.64,200,1,0.3,51.248530038197835
PW0.5,139.92,200,1,0.5,90.31470314661662
PW0.7,139.93,200,1,0.7,217.94722438255945
PW0.15,162.53,500,1,0.15,92.67814999024073
PW0.3,165.7,500,1,0.3,334.94381366968156
PW0.5,139.58,500,1,0.5,150.45840807358425
PW0.7,140.0,500,1,0.7,346.6191950480143
PW0.15,163.6,1000,1,0.15,37.06260677576065
PW0.3,169.1,1000,1,0.3,74.40574338436127
PW0.5,163.02,1000,1,0.5,203.13834889332455
PW0.7,140.0,1000,1,0.7,547.7677664597829
PW0.15,139.02,10,1,0.15,30.367404282093048
PW0.3,138.53,10,1,0.3,27.86523352066676
PW0.5,138.8,10,1,0.5,31.265310835838317
PW0.7,138.46,10,1,0.7,28.245250634352367
PW0.15,139.34,20,1,0.15,28.256705085436504
PW0.3,139.44,20,1,0.3,28.36852023204168
PW0.5,139.65,20,1,0.5,33.10812509059906
PW0.7,140.18,20,1,0.7,38.82849969069163
PW0.15,138.63,50,1,0.15,28.909575287501017
PW0.3,138.65,50,1,0.3,33.429066785176595
PW0.5,138.77,50,1,0.5,50.7498380502065
PW0.7,139.8,50,1,0.7,72.21859773397446
PW0.15,139.41,100,1,0.15,30.892950137456257
PW0.3,139.22,100,1,0.3,44.39792050123215
PW0.5,139.82,100,1,0.5,68.1804408788681
PW0.7,139.93,100,1,0.7,117.48333609104156
PW0.15,155.41,200,1,0.15,37.13241351445516
PW0.3,142.4,200,1,0.3,67.0458802819252
PW0.5,139.64,200,1,0.5,115.67146958510081
PW0.7,140.0,200,1,0.7,317.52581742604576
PW0.15,163.33,500,1,0.15,48.92311897277832
PW0.3,166.9,500,1,0.3,78.15894010066987
PW0.5,139.9,500,1,0.5,163.21555637518566
