method,expected_return,num_rollouts,k,exp,time_minutes
PW0.4,136.81,10,0.05,0.4,30.264317496617636
PW0.5,137.44,10,0.05,0.5,41.002968815962475
PW0.6,137.46,10,0.05,0.6,42.9315642952919
PW0.8,139.37,10,0.05,0.8,21.670903662840526
PW0.9,139.09,10,0.05,0.9,20.28725866874059
PW0.4,138.74,20,0.05,0.4,20.176371637980143
PW0.5,137.99,20,0.05,0.5,19.891731150945027
PW0.6,137.96,20,0.05,0.6,19.877446313699085
PW0.8,138.32,20,0.05,0.8,19.573626283804575
PW0.9,138.44,20,0.05,0.9,19.941594111919404
PW0.4,134.92,50,0.05,0.4,20.245748817920685
PW0.5,136.68,50,0.05,0.5,20.083216321468353
PW0.6,136.91,50,0.05,0.6,20.097882604599
PW0.8,135.52,50,0.05,0.8,20.104033398628236
PW0.9,134.97,50,0.05,0.9,20.256794738769532
PW0.4,142.69,100,0.05,0.4,20.027078024546306
PW0.5,143.81,100,0.05,0.5,20.143081466356914
PW0.6,143.29,100,0.05,0.6,23.118448901176453
PW0.8,141.33,100,0.05,0.8,23.837537844975788
PW0.9,138.41,100,0.05,0.9,24.575869222482044
PW0.4,142.57,200,0.05,0.4,25.50541160106659
PW0.5,144.52,200,0.05,0.5,43.910334471861525
PW0.6,144.88,200,0.05,0.6,539.9144161025683
PW0.8,148.11,200,0.05,0.8,31.48689079284668
PW0.9,155.92,200,0.05,0.9,44.754502395788826
PW0.4,143.09,500,0.05,0.4,27.31457892258962
PW0.5,142.2,500,0.05,0.5,25.160066270828246
PW0.6,157.82,500,0.05,0.6,37.711545968055724
PW0.8,163.76,500,0.05,0.8,69.37401557763418
PW0.9,167.0,500,0.05,0.9,86.74285643895468
PW0.4,142.35,1000,0.05,0.4,29.98025308052699
PW0.5,153.94,1000,0.05,0.5,43.259975000222525
PW0.6,157.42,1000,0.05,0.6,41.193011883894606
PW0.8,168.4,1000,0.05,0.8,86.75158809026082
PW0.9,168.5,1000,0.05,0.9,119.15742245515187
PW0.4,136.9,10,0.05,0.4,20.044756348927816
PW0.5,138.09,10,0.05,0.5,19.458049507935844
PW0.6,138.02,10,0.05,0.6,16.518436547120412
PW0.8,137.99,10,0.05,0.8,14.661786158879599
PW0.9,136.47,10,0.05,0.9,14.742061062653859
PW0.4,137.67,20,0.05,0.4,14.645329181353251
PW0.5,138.35,20,0.05,0.5,14.616601637999217
PW0.6,136.9,20,0.05,0.6,14.656399234135945
PW0.8,137.84,20,0.05,0.8,14.498003693421682
PW0.9,138.29,20,0.05,0.9,15.324438488483429
PW0.4,137.25,50,0.05,0.4,16.470161545276643
PW0.5,135.01,50,0.05,0.5,16.34840111732483
PW0.6,135.42,50,0.05,0.6,17.099899685382844
PW0.8,133.91,50,0.05,0.8,604.9490612705548
PW0.9,135.64,50,0.05,0.9,18.543969659010568
PW0.4,142.33,100,0.05,0.4,17.1113094607989
PW0.5,141.71,100,0.05,0.5,16.908558444182077
PW0.6,140.26,100,0.05,0.6,16.947863845030465
PW0.8,141.4,100,0.05,0.8,22.72263539234797
PW0.9,141.99,100,0.05,0.9,24.683817191918692
PW0.4,142.97,200,0.05,0.4,17.718597888946533
PW0.5,142.97,200,0.05,0.5,16.929696083068848
PW0.6,143.22,200,0.05,0.6,17.47705300649007
PW0.8,150.73,200,0.05,0.8,24.157894619305928
PW0.9,156.5,200,0.05,0.9,32.8712278286616
PW0.4,142.47,500,0.05,0.4,17.34270999034246
PW0.5,143.73,500,0.05,0.5,17.238992929458618
PW0.6,157.72,500,0.05,0.6,20.931198219458263
PW0.8,163.6,500,0.05,0.8,39.9951856692632
PW0.9,166.2,500,0.05,0.9,77.07994815508525
PW0.4,145.09,1000,0.05,0.4,25.746644135316213
PW0.5,155.31,1000,0.05,0.5,26.047160645325977
PW0.6,156.48,1000,0.05,0.6,31.84477688471476
PW0.8,168.3,1000,0.05,0.8,950.1238962769509
PW0.9,168.4,1000,0.05,0.9,105.34425727923711
PW0.4,138.24,10,0.05,0.4,21.994394433498382
PW0.5,137.12,10,0.05,0.5,19.239396365483604
PW0.6,138.0,10,0.05,0.6,19.05649532477061
PW0.8,136.8,10,0.05,0.8,21.73872318267822
PW0.9,136.79,10,0.05,0.9,17.997097261746724
PW0.4,138.65,20,0.05,0.4,18.22630149126053
PW0.5,137.05,20,0.05,0.5,18.601945924758912
PW0.6,138.17,20,0.05,0.6,16.779635413487753
PW0.8,137.36,20,0.05,0.8,16.18987274169922
PW0.9,138.07,20,0.05,0.9,16.522244584560394
PW0.4,135.11,50,0.05,0.4,16.38404889901479
PW0.5,137.9,50,0.05,0.5,17.281601826349895
PW0.6,136.17,50,0.05,0.6,19.561786957581837
PW0.8,137.9,50,0.05,0.8,18.466291236877442
PW0.9,133.66,50,0.05,0.9,16.38711605469386
PW0.4,142.97,100,0.05,0.4,16.470917216936748
PW0.5,142.83,100,0.05,0.5,16.533491945266725
PW0.6,142.95,100,0.05,0.6,16.458721522490183
PW0.8,140.88,100,0.05,0.8,17.3482550462087
PW0.9,137.83,100,0.05,0.9,20.3360569357872
PW0.4,145.33,200,0.05,0.4,16.850497285525005
PW0.5,144.76,200,0.05,0.5,17.180521329243977
PW0.6,145.43,200,0.05,0.6,16.915751385688782
PW0.8,148.31,200,0.05,0.8,23.112543054421742
PW0.9,155.62,200,0.05,0.9,31.488916313648225
PW0.4,144.93,500,0.05,0.4,18.096066574255627
PW0.5,143.04,500,0.05,0.5,18.411191280682882
PW0.6,157.39,500,0.05,0.6,22.57362513144811
PW0.8,163.76,500,0.05,0.8,40.89453798135121
PW0.9,165.1,500,0.05,0.9,62.98320939540863
PW0.4,144.77,1000,0.05,0.4,23.823103845119476
PW0.5,152.52,1000,0.05,0.5,24.591160464286805
PW0.6,156.62,1000,0.05,0.6,28.21888542175293
PW0.4,136.81,10,0.05,0.4,30.26431749661764
PW0.5,137.44,10,0.05,0.5,41.00296881596248
PW0.6,137.46,10,0.05,0.6,42.9315642952919
PW0.8,139.37,10,0.05,0.8,21.670903662840526
PW0.9,139.09,10,0.05,0.9,20.28725866874059
PW0.4,138.74,20,0.05,0.4,20.176371637980143
PW0.5,137.99,20,0.05,0.5,19.891731150945027
PW0.6,137.96,20,0.05,0.6,19.877446313699085
PW0.8,138.32,20,0.05,0.8,19.573626283804572
PW0.9,138.44,20,0.05,0.9,19.941594111919404
PW0.4,134.92,50,0.05,0.4,20.245748817920685
PW0.5,136.68,50,0.05,0.5,20.083216321468356
PW0.6,136.91,50,0.05,0.6,20.097882604599
PW0.8,135.52,50,0.05,0.8,20.10403339862824
PW0.9,134.97,50,0.05,0.9,20.25679473876953
PW0.4,142.69,100,0.05,0.4,20.027078024546302
PW0.5,143.81,100,0.05,0.5,20.143081466356914
PW0.6,143.29,100,0.05,0.6,23.118448901176453
PW0.8,141.33,100,0.05,0.8,23.837537844975788
PW0.9,138.41,100,0.05,0.9,24.575869222482044
PW0.4,142.57,200,0.05,0.4,25.50541160106659
PW0.5,144.52,200,0.05,0.5,43.910334471861525
PW0.6,144.88,200,0.05,0.6,539.9144161025683
PW0.8,148.11,200,0.05,0.8,31.48689079284668
PW0.9,155.92,200,0.05,0.9,44.754502395788826
PW0.4,143.09,500,0.05,0.4,27.31457892258962
PW0.5,142.2,500,0.05,0.5,25.16006627082825
PW0.6,157.82,500,0.05,0.6,37.71154596805573
PW0.8,163.76,500,0.05,0.8,69.37401557763418
PW0.9,167.0,500,0.05,0.9,86.74285643895468
PW0.4,142.35,1000,0.05,0.4,29.98025308052699
PW0.5,153.94,1000,0.05,0.5,43.259975000222525
PW0.6,157.42,1000,0.05,0.6,41.193011883894606
PW0.8,168.4,1000,0.05,0.8,86.75158809026082
PW0.9,168.5,1000,0.05,0.9,119.15742245515187
PW0.4,136.9,10,0.05,0.4,20.044756348927816
PW0.5,138.09,10,0.05,0.5,19.458049507935844
PW0.6,138.02,10,0.05,0.6,16.518436547120412
PW0.8,137.99,10,0.05,0.8,14.6617861588796
PW0.9,136.47,10,0.05,0.9,14.74206106265386
PW0.4,137.67,20,0.05,0.4,14.645329181353253
PW0.5,138.35,20,0.05,0.5,14.616601637999215
PW0.6,136.9,20,0.05,0.6,14.656399234135945
PW0.8,137.84,20,0.05,0.8,14.498003693421682
PW0.9,138.29,20,0.05,0.9,15.324438488483429
PW0.4,137.25,50,0.05,0.4,16.470161545276643
PW0.5,135.01,50,0.05,0.5,16.34840111732483
PW0.6,135.42,50,0.05,0.6,17.099899685382844
PW0.8,133.91,50,0.05,0.8,604.9490612705548
PW0.9,135.64,50,0.05,0.9,18.543969659010568
PW0.4,142.33,100,0.05,0.4,17.1113094607989
PW0.5,141.71,100,0.05,0.5,16.908558444182077
PW0.6,140.26,100,0.05,0.6,16.947863845030465
